order_id,order_date,updated_at,customer_id,channel,secondary_channel,notes,revenue,units_sold,discount_pct,margin,region
ORD-000000,2026-04-24 14:39:49.109358,2026-04-24 14:39:49.109358,2780,telesales,referral,ok,5724.4664775383735,13,0.2298181623366068,0.4656252495441936,Nordeste
ORD-000001,2026-04-23 06:39:49.109376,2026-04-23 06:39:49.109376,1304,digital,referral,,3556.243551870222,128,0.09636809292750459,0.4500376150247954,Sudeste
ORD-000002,2026-04-23 12:39:49.109381,2026-04-23 12:39:49.109381,6645,field,,,2774.7728724397325,37,0.16215539280423613,0.18942114536376775,Sudeste
ORD-000003,2026-04-23 22:39:49.109384,2026-04-23 22:39:49.109384,7146,field,referral,ok,5815.793058910345,18,0.20310519694081336,0.41509836786564613,Centro-Oeste
ORD-000004,2026-04-23 22:39:49.109386,2026-04-23 22:39:49.109386,7952,telesales,referral,,5585.720712539933,155,0.07087491321138985,0.1914453661114772,Nordeste
ORD-000005,2026-04-23 02:39:49.109389,2026-04-23 02:39:49.109389,9553,partner,referral,,4664.698772019063,87,0.08387698481560532,0.3478217718815899,Norte
ORD-000006,2026-04-24 14:39:49.109391,2026-04-24 14:39:49.109391,5475,field,referral,ok,4055.352134899847,170,0.10685719115671972,0.2533798752295998,Sudeste
ORD-000007,2026-04-23 10:39:49.109393,2026-04-23 10:39:49.109393,8461,digital,referral,,2743.266414917962,173,0.17330545050883317,0.42126252289372973,Nordeste
ORD-000008,2026-04-24 09:39:49.109396,2026-04-24 09:39:49.109396,7445,partner,referral,ok,5540.880533254202,25,0.08112463604886745,0.3943728722655396,Centro-Oeste
ORD-000009,2026-04-24 14:39:49.109398,2026-04-24 14:39:49.109398,3494,digital,referral,ok,5923.362137959091,153,0.06245033475239811,0.42836634062545625,Norte
ORD-000010,2026-04-23 18:39:49.109407,2026-04-23 18:39:49.109407,8605,field,referral,,3685.0890858105663,67,0.04485246473184411,0.3263808151129503,Sudeste
ORD-000011,2026-04-22 21:39:49.109410,2026-04-22 21:39:49.109410,1479,telesales,referral,,3584.8804791124526,140,0.2427929693560313,0.3346936848286501,Sul
ORD-000012,2026-04-23 08:39:49.109413,2026-04-23 08:39:49.109413,6389,field,,,5989.274310010564,9,0.2657914491791426,0.23006033688179184,Sul
ORD-000013,2026-04-23 07:39:49.109416,2026-04-23 07:39:49.109416,9462,partner,referral,ok,3729.762644527822,94,0.2714165837190042,0.2675612320882778,Nordeste
ORD-000014,2026-04-23 09:39:49.109418,2026-04-23 09:39:49.109418,6930,field,referral,,6634.872249427659,126,0.2464901011833751,0.4258826747879993,Norte
ORD-000015,2026-04-23 06:39:49.109421,2026-04-23 06:39:49.109421,9432,field,referral,ok,4369.137890561148,89,0.04118676695283877,0.37938119710433976,Norte
ORD-000016,2026-04-23 18:39:49.109423,2026-04-23 18:39:49.109423,1505,partner,referral,,4036.12595176002,110,0.02932558239142322,0.3583467996181785,Nordeste
ORD-000017,2026-04-24 12:39:49.109425,2026-04-24 12:39:49.109425,5791,field,referral,,4554.129601456076,3,0.14974929876712445,0.45096910081321107,Norte
ORD-000018,2026-04-23 03:39:49.109427,2026-04-23 03:39:49.109427,8024,partner,,,4036.0419187631765,2,0.1564280859174995,0.24598862516029363,Norte
ORD-000019,2026-04-23 21:39:49.109429,2026-04-23 21:39:49.109429,6780,telesales,,,5851.4548636172185,120,0.21984695773802082,0.4076118319031005,Sudeste
ORD-000020,2026-04-23 19:39:49.109431,2026-04-23 19:39:49.109431,8923,digital,,,5562.972167490464,83,0.06686422609686273,0.25566747047776317,Norte
ORD-000021,2026-04-24 01:39:49.109433,2026-04-24 01:39:49.109433,5162,digital,,,5805.727551300998,115,0.27928490095736763,0.46822990964634836,Sudeste
ORD-000022,2026-04-24 10:39:49.109435,2026-04-24 10:39:49.109435,7142,field,referral,ok,4721.423688832875,72,0.09297893789856505,0.39355793382188553,Sul
ORD-000023,2026-04-22 23:39:49.109438,2026-04-22 23:39:49.109438,4777,field,,,3952.3746020299645,2,0.17334268527404337,0.42716010885588007,Sul
ORD-000024,2026-04-23 06:39:49.109440,2026-04-23 06:39:49.109440,8848,digital,,ok,4489.12319108672,140,0.25926408222653646,0.29386825889791746,Sul
