sku_id,warehouse_id,snapshot_date,lot_number,supplier_notes,qty_on_hand,qty_reserved,unit_cost,lead_time_days,reorder_point,turnover_rate
SKU-00138,WH-008,2026-04-23 19:39:49.259987,,ok,3592.0,269,791.97,72,201,2.2953588471129986
SKU-00015,WH-009,2026-04-23 19:39:49.260001,LOT-2429,,298.0,317,459.79,50,415,4.9020436113928785
SKU-00344,WH-002,2026-04-22 19:39:49.260004,LOT-1113,,309.0,316,69.72,30,157,2.6585928258855875
SKU-00093,WH-002,2026-04-23 19:39:49.260006,LOT-7171,,2129.0,12,252.42,44,386,4.863553831060807
SKU-00256,WH-008,2026-04-22 19:39:49.260008,LOT-9469,ok,3269.0,236,427.39,89,345,2.9931136777462433
SKU-00336,WH-005,2026-04-23 19:39:49.260010,LOT-1440,ok,3079.0,79,412.8,75,178,3.475039960515339
SKU-00287,WH-006,2026-04-22 19:39:49.260013,LOT-3266,,4935.0,274,180.22,5,138,3.885478449795763
SKU-00379,WH-007,2026-04-24 19:39:49.260014,LOT-3176,,4995.0,399,549.81,84,329,4.087996821378786
SKU-00010,WH-004,2026-04-22 19:39:49.260017,LOT-5024,ok,1855.0,479,190.47,85,359,4.655520012871627
SKU-00134,WH-009,2026-04-22 19:39:49.260019,LOT-5311,,2177.0,244,786.46,57,167,5.275071476861743
SKU-00203,WH-001,2026-04-24 19:39:49.260021,,ok,1564.0,247,660.5,49,338,7.304776952609559
SKU-00369,WH-016,2026-04-24 19:39:49.260023,LOT-6764,,2866.0,295,360.63,76,284,3.6097274968583544
SKU-00271,WH-014,2026-04-24 19:39:49.260024,,ok,3019.0,27,296.33,30,52,4.572168341696112
SKU-00383,WH-004,2026-04-22 19:39:49.260026,,ok,4215.0,169,145.44,38,249,4.309979547531627
SKU-00371,WH-004,2026-04-23 19:39:49.260028,LOT-1459,,1735.0,157,71.95,27,163,3.13644030493311
SKU-00402,WH-002,2026-04-24 19:39:49.260029,,ok,3548.0,283,604.98,81,264,2.053591035255027
SKU-00304,WH-004,2026-04-24 19:39:49.260039,LOT-6330,,616.0,78,710.16,53,105,3.267805549175172
SKU-00377,WH-012,2026-04-23 19:39:49.260041,,,4555.0,18,401.93,65,479,3.737551965907499
SKU-00340,WH-002,2026-04-24 19:39:49.260043,,,522.0,170,716.75,5,84,3.9500435782101366
SKU-00017,WH-001,2026-04-23 19:39:49.260045,LOT-4469,,3196.0,11,759.65,82,406,2.6916725636628893
SKU-00141,WH-012,2026-04-24 19:39:49.260046,,ok,712.0,352,474.34,55,156,4.04229617305185
SKU-00447,WH-019,2026-04-23 19:39:49.260048,,,4689.0,451,207.18,77,328,4.194057093487283
SKU-00046,WH-010,2026-04-24 19:39:49.260050,LOT-2382,,4274.0,342,654.56,7,106,3.3249231510065647
SKU-00282,WH-006,2026-04-22 19:39:49.260051,,,3205.0,143,179.02,32,73,5.312795531680946
SKU-00384,WH-017,2026-04-24 19:39:49.260053,LOT-2390,,2093.0,353,743.79,53,467,2.3536076668824366
SKU-00216,WH-017,2026-04-23 19:39:49.260055,LOT-9120,,,401,156.65,79,107,4.740497128245125
SKU-00090,WH-017,2026-04-23 19:39:49.260057,,ok,4832.0,446,287.16,82,311,4.131927044933087
SKU-00013,WH-008,2026-04-22 19:39:49.260059,LOT-1185,,1717.0,258,101.06,49,337,4.5103540228924235
SKU-00331,WH-001,2026-04-22 19:39:49.260060,LOT-5608,ok,579.0,201,230.08,43,149,4.906332730836819
SKU-00296,WH-020,2026-04-22 19:39:49.260062,,ok,2317.0,37,405.78,71,463,4.760286898670266
SKU-00346,WH-018,2026-04-22 19:39:49.260064,,,301.0,229,313.69,65,411,2.0591941189178424
SKU-00082,WH-011,2026-04-22 19:39:49.260066,,,4004.0,31,504.85,64,71,4.101107709711689
SKU-00235,WH-016,2026-04-24 19:39:49.260067,LOT-2665,,2117.0,191,295.94,2,62,4.9682173480081095
SKU-00274,WH-020,2026-04-24 19:39:49.260069,LOT-4486,,1485.0,31,457.75,83,495,5.008577621450421
SKU-00420,WH-002,2026-04-22 19:39:49.260070,LOT-5828,,1286.0,187,505.4,3,99,3.451586183046463
SKU-00095,WH-010,2026-04-24 19:39:49.260072,LOT-4816,,2463.0,251,740.85,63,261,3.1110179464139414
SKU-00348,WH-018,2026-04-24 19:39:49.260074,,,418.0,168,706.28,59,395,5.093797995295586
SKU-00344,WH-015,2026-04-22 19:39:49.260076,LOT-1469,,1121.0,166,215.49,65,221,4.995608820854911
SKU-00297,WH-003,2026-04-23 19:39:49.260077,LOT-8821,,1662.0,368,379.45,83,480,3.1142156420462594
SKU-00045,WH-002,2026-04-24 19:39:49.260079,,,1872.0,488,84.04,89,356,2.8668006375701367
SKU-00060,WH-007,2026-04-24 19:39:49.260080,LOT-8773,,,130,181.75,12,389,3.916746158227982
SKU-00301,WH-009,2026-04-22 19:39:49.260082,LOT-3169,,1401.0,53,238.77,78,495,3.455173492386405
SKU-00312,WH-003,2026-04-23 19:39:49.260083,LOT-1481,,1905.0,17,763.7,51,107,4.535246479364542
SKU-00322,WH-006,2026-04-24 19:39:49.260085,LOT-8898,ok,4697.0,198,605.92,55,141,5.998418728972912
SKU-00387,WH-011,2026-04-23 19:39:49.260087,LOT-6539,,4451.0,248,717.82,88,96,2.877072441579826
SKU-00198,WH-016,2026-04-22 19:39:49.260088,LOT-4207,ok,4521.0,6,242.41,67,483,4.203824238828689
SKU-00149,WH-012,2026-04-24 19:39:49.260090,LOT-4496,,903.0,249,687.77,83,297,3.4365686561162336
SKU-00459,WH-011,2026-04-24 19:39:49.260091,,ok,3652.0,306,618.73,23,105,5.266186830359169
SKU-00347,WH-015,2026-04-23 19:39:49.260093,,,25.0,231,120.62,75,182,5.343811270287496
SKU-00264,WH-013,2026-04-22 19:39:49.260094,LOT-7771,,612.0,47,260.66,49,414,3.2681184844656643
SKU-00280,WH-005,2026-04-24 19:39:49.260096,LOT-9922,,135.0,226,570.49,19,286,5.666553286106935
SKU-00376,WH-006,2026-04-23 19:39:49.260097,LOT-7054,,4711.0,340,264.29,88,366,5.347913874951171
SKU-00156,WH-003,2026-04-22 19:39:49.260099,,ok,1505.0,245,205.1,29,270,4.145724462770302
SKU-00223,WH-003,2026-04-24 19:39:49.260100,,,783.0,359,793.16,16,269,5.2400616931910315
SKU-00022,WH-017,2026-04-24 19:39:49.260102,LOT-5581,,,474,389.88,53,447,2.703628532854207
SKU-00396,WH-014,2026-04-23 19:39:49.260103,,,272.0,493,281.84,80,296,6.631928861592396
SKU-00251,WH-013,2026-04-23 19:39:49.260105,,,512.0,124,288.69,44,384,4.409089904666415
SKU-00449,WH-009,2026-04-23 19:39:49.260107,LOT-4626,ok,220.0,110,496.49,67,489,5.852439525315003
SKU-00149,WH-002,2026-04-24 19:39:49.260108,LOT-4224,,2963.0,90,517.77,85,255,3.622078943763451
SKU-00207,WH-009,2026-04-22 19:39:49.260110,LOT-8679,,1399.0,328,693.01,26,394,2.4415458479098264
SKU-00028,WH-004,2026-04-23 19:39:49.260111,,,,298,527.52,4,451,4.901500125241804
SKU-00484,WH-020,2026-04-23 19:39:49.260113,LOT-6965,,805.0,152,750.17,85,495,3.4498682410799058
SKU-00172,WH-009,2026-04-23 19:39:49.260114,LOT-4339,,948.0,79,461.64,61,236,3.5799579628904414
SKU-00077,WH-003,2026-04-23 19:39:49.260116,LOT-6293,,853.0,152,397.26,38,101,4.625401871584099
SKU-00307,WH-006,2026-04-24 19:39:49.260117,LOT-6530,,1709.0,76,629.45,75,455,5.339989900629049
SKU-00424,WH-013,2026-04-24 19:39:49.260119,,,1419.0,428,174.56,43,228,4.765870808823408
SKU-00056,WH-010,2026-04-24 19:39:49.260120,LOT-4840,,4802.0,242,509.42,82,83,5.604559705372898
